NÚMERO E ANO DO REQUERIMENTO,PORTARIA DE AUTORIZAÇÃO,DENOMINAÇÃO SOCIAL DA EMPRESA,CNPJ,MARCAS,DOMÍNIOS
0001/2024,"SPA/MF nº 246, de 07 de fevereiro de 2025",KAIZEN GAMING BRASIL LTDA,46.786.961/0001-74,BETANO,betano.bet.br
0002/2024,"SPA/MF nº 2.090, de 30 de dezembro de 2024",SPRBT INTERACTIVE BRASIL LTDA,54.071.596/0001-40,SUPERBET,superbet.bet.br
0002/2025,"SPA/MF nº 2.090, de 30 de dezembro de 2025",SPRBT INTERACTIVE BRASIL LTDA,54.071.596/0001-41,MAGICJACKPOT,magicjackpot.bet.br
0002/2026,"SPA/MF nº 2.090, de 30 de dezembro de 2026",SPRBT INTERACTIVE BRASIL LTDA,54.071.596/0001-42,SUPER,super.bet.br
0003/2024,"SPA/MF nº 2.091, de 30 de dezembro 2024
(Alterada pela Portaria SPA/MF nº 1.142, de 23 de maio de 2025)","MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",34.935.286/0001-19,REI DO PITACO,reidopitaco.bet.br
0003/2025,"SPA/MF nº 2.091, de 30 de dezembro 2024
(Alterada pela Portaria SPA/MF nº 1.142, de 23 de maio de 2025)","MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",34.935.286/0001-20,PITACO,pitaco.bet.br
0003/2026,"SPA/MF nº 2.091, de 30 de dezembro 2024
(Alterada pela Portaria SPA/MF nº 1.142, de 23 de maio de 2025)","MMD TECNOLOGIA, ENTRETENIMENTO E MARKETING LTDA",34.935.286/0001-21,RdP,rdp.bet.br
0004/2024,"SPA/MF nº 247, de 07 de fevereiro de 2025",VENTMEAR BRASIL S.A.,52.868.380/0001-84,SPORTINGBET,sportingbet.bet.br
0004/2024,"SPA/MF nº 247, de 07 de fevereiro de 2026",VENTMEAR BRASIL S.A.,52.868.380/0001-85,BETBOO,betboo.bet.br
0005/2024,"SPA/MF nº 370, de 24 de fevereiro de 2025 
(Alterada pela Portaria SPA/MF nº 479, de 10 de março de 2025 e pela Portaria SPA/MF nº 755, de 08 de abril de 2025)",BIG BRAZIL TECNOLOGIA E LOTERIA S.A.,41.590.869/0001-10,BIG,big.bet.br
